	Sample_Names	Percolation_Threshold
0	'A013E01_'	0.962573012246577
1	'A014E01_'	0.911927164907956
2	'A015E01_'	0.8282580015960741
3	'A016E01_'	0.8063977489458349
4	'A017E01_'	0.7653579817573171
5	'A018E01_'	0.733007857688462
6	'A019E01_'	0.710562451631649
7	'A020E01_'	0.644125634656514
8	'A021E01_'	0.737400057107081
9	'A022E01_'	0.7256109748569051
10	'A023E01_'	0.7188992912651769
11	'A024E01_'	0.7018263236866761
12	'A025E01_'	0.7049277042886078
13	'A026E01_'	0.7260966715538779
14	'A027E01_'	0.7464439605004258
15	'A028E01_'	0.7297851469778371
16	'A029E01_'	0.695758377108469
17	'A030E01_'	0.669393232237798
18	'A031E01_'	0.6712492119220079
19	'A032E01_'	0.656639972513682
20	'A033E01_'	0.660112473633053
21	'A034E01_'	0.675097748301655
22	'A035E01_'	0.677037103996844
23	'A037E01_'	0.766909065563702
24	'A038E01_'	0.7814564090776941
25	'A039E01_'	0.8103199459465671
26	'A040E01_'	0.8463037127209209
27	'A041E01_'	0.89477280393599
28	'A042E01_'	0.9585900183023749
29	'A043E01_'	0.9451706793615658
30	'A044E01_'	0.920341362671882
31	'A045E01_'	0.905868864747843
32	'A046E01_'	0.931319285982154
33	'A047E01_'	0.91547806508765
34	'A048E01_'	0.853965475510322
35	'A049E01_'	0.8785431028411078
36	'A050E01_'	0.8646247566129799
37	'A051E01_'	0.8947774017956249
38	'A052E01_'	0.983596064577861
39	'A053E01_'	1.01209352456367
40	'A055E01_'	0.969683956011247
41	'A063E01_'	0.978857384296171
42	'A142E01_'	0.9226149470535059
43	'A143E01_'	0.8546213944070649
44	'A144E01_'	0.9437243034843901
45	'A145E01_'	1.0048550879582099
46	'A149E01_'	1.01090801798943
47	'A160E01_'	0.9996954162066759
48	'A161E01_'	0.8833374204973801
49	'A162E01_'	0.847520304091125
50	'A163E01_'	0.885249046911233
51	'A164E01_'	0.903321337114573
52	'A165E01_'	0.986714097642643
53	'A182E01_'	0.960594474286385
54	'A183E01_'	0.9134146292371509
55	'A184E01_'	0.9500733412647471
56	'A185E01_'	0.9748631937375151
57	'A190E01_'	0.939231277125445
58	'A191E01_'	0.804204006965462
59	'A198E01_'	0.891281005330842
60	'A199E01_'	0.88289165724597
61	'A243E01_'	1.00529561498696
62	'A244E01_'	0.887861078082923
63	'A245E01_'	0.901247173489551
64	'A246E01_'	0.973938808122648
65	'A247E01_'	0.9820315385570909
66	'A248E01_'	0.9950357867830228
67	'A249E01_'	0.998733644676009
68	'A250E01_'	0.99949177656164
69	'A251E01_'	1.0098154952191098
70	'A252E01_'	0.9361101505573509
71	'A253E01_'	0.944528886766255
72	'A254E01_'	0.955086005413694
73	'A255E01_'	0.9339315510045201
74	'A256E01_'	0.9300070704029151
75	'A257E01_'	0.9524375587680849
76	'A258E01_'	1.0055449624725101
77	'A265E01_'	0.9841543727517529
78	'A266E01_'	0.9046629358905821
79	'A268E01_'	0.94997001398999
80	'A269E01_'	0.822072031665634
81	'A270E01_'	0.782881229400894
82	'A271E01_'	0.7976175337027679
83	'A272E01_'	0.8433536624540551
84	'A273E01_'	0.937427792853538
85	'A281E01_'	0.925476764278519
86	'A299E01_'	0.85300254217174
87	'A300E01_'	0.883090273433258
88	'A301E01_'	0.8519007861853342
89	'A302E01_'	0.8155172961548219
90	'A303E01_'	0.811711251677731
91	'A304E01_'	0.916353531935603
92	'A311E01_'	0.9726315344893419
93	'A312E01_'	0.8953026602096509
94	'A336E01_'	0.9737435153837991
95	'A337E01_'	0.9691653333819391
96	'A381E01_'	0.977096402579907
97	'A382E01_'	0.796752197649113
98	'A383E01_'	0.755953277066259
99	'A384E01_'	0.760147094825815
100	'A385E01_'	0.825905908738796
101	'A386E01_'	0.753626274077475
102	'A387E01_'	0.8620094508594671
103	'A388E01_'	0.8572143933209809
104	'A389E01_'	0.906954285275654
105	'A390E01_'	0.9570490626687621
106	'A406E01_'	1.00359073657399
107	'A407E01_'	0.9208778696663149
108	'A408E01_'	0.877548680916456
109	'A409E01_'	0.89665985301724
110	'A410E01_'	0.8359720459976261
111	'A411E01_'	0.820227076827759
112	'A412E01_'	0.794230874501092
113	'A414E01_'	0.771546418695317
114	'A415E01_'	0.720350800365505
115	'A416E01_'	0.829365860972756
116	'A417E01_'	0.6093190537714269
117	'A418E01_'	0.7109062325791299
118	'A419E01_'	0.832786275881203
119	'A420E01_'	0.9633248503395591
120	'A424E01_'	1.00189191337155
121	'A425E01_'	0.974403504972957
122	'A427E01_'	0.98796539186938
123	'A440E01_'	1.00940953405885
124	'A441E01_'	0.9842555099989201
125	'A442E01_'	0.985783860359517
126	'A452E01_'	0.9708271862387049
127	'A453E01_'	0.8819127356553119
128	'A454E01_'	0.94186860211534
129	'A455E01_'	0.877299735644169
130	'A456E01_'	0.9552000994811809
131	'A457E01_'	0.948871004650431
132	'A458E01_'	0.892241020348261
133	'A459E01_'	0.9410982227028291
134	'A460E01_'	0.9473536045948828
135	'A461E01_'	0.9849656476069671
136	'A469E01_'	0.975425145867519
137	'A473E01_'	0.861570973106468
138	'A474E01_'	0.854311752053034
139	'A475E01_'	0.857420868173488
140	'A476E01_'	0.885200431204672
141	'A477E01_'	0.90586534834452
142	'A478E01_'	0.9106394451134341
143	'A479E01_'	0.8895872831933901
144	'A480E01_'	0.896456963553291
145	'A481E01_'	0.990966149520062
146	'A482E01_'	1.00323084473885
147	'A483E01_'	0.9561334116469531
148	'A488E01_'	0.958131410111542
149	'A492E01_'	0.991335004933342
150	'A493E01_'	0.867819472902224
151	'A494E01_'	0.8824501130254921
152	'A495E01_'	0.843267365953709
153	'A496E01_'	0.7851766235766079
154	'A497E01_'	0.816794209787058
155	'A498E01_'	0.830758183410953
156	'A499E01_'	0.8082917994591129
157	'A500E01_'	0.8248154966650529
158	'A501E01_'	0.8045258211789058
159	'A502E01_'	0.857739185711904
160	'A503E01_'	0.8217244791463271
161	'A504E01_'	0.79434491224879
162	'A505E01_'	0.8382885808462779
163	'A506E01_'	0.906760766760045
164	'A507E01_'	0.722905243546952
165	'A508E01_'	0.8056184935639829
166	'A509E01_'	0.8433314798765
167	'A510E01_'	0.973753552805659
168	'A514E01_'	0.9990082133250201
169	'A515E01_'	0.9320658253127191
170	'A517E01_'	0.9780549030159581
171	'A518E01_'	0.951840487985699
172	'A519E01_'	0.97761515576269
173	'A520E01_'	0.942803598433788
174	'A521E01_'	0.957756952159685
175	'A522E01_'	0.954448530979396
176	'A523E01_'	0.949414873079149
177	'A524E01_'	0.946437010399022
178	'A525E01_'	0.958817712077029
179	'A536E01_'	0.904100860543538
180	'A537E01_'	0.927972202687983
181	'A541E01_'	0.8644913991947791
182	'A542E01_'	0.8556683261034201
183	'A543E01_'	0.988221465468857
184	'A546E01_'	0.9817596728791559
185	'A547E01_'	0.917281763616758
186	'A548E01_'	0.9265898803861821
187	'A549E01_'	0.9263769301074349
188	'A552E01_'	0.9434916996059599
189	'A553E01_'	0.9159380934584621
190	'A554E01_'	0.981430223466102
191	'A556E01_'	1.00950843470382
192	'A557E01_'	0.8585210855994398
193	'A558E01_'	0.9813099130764928
194	'A559E01_'	0.9937162885485171
195	'A571E01_'	0.958527632940658
196	'A572E01_'	0.9345847593123159
197	'A573E01_'	0.928528931595555
198	'A574E01_'	0.9250894535687659
199	'A575E01_'	0.918191333430773
200	'A576E01_'	0.92723802944969
201	'A577E01_'	0.8816030839032559
202	'A578E01_'	0.8367314430873392
203	'A579E01_'	0.8436554875315749
204	'A580E01_'	1.01210700575823
