	Sample_Names	Percolation_Threshold
0	'A075E01_'	1.47853237421926
1	'A076E01_'	1.49995993306786
2	'A077E01_'	1.4832125427353302
3	'A078E01_'	1.6288376165285399
4	'A079E01_'	1.76957678636739
5	'A080E01_'	1.8545251746519198
6	'A081E01_'	1.93225929446979
7	'A082E01_'	1.9286801533705402
8	'A083E01_'	1.9746236785701299
9	'A084E01_'	1.8667344420166
10	'A085E01_'	1.75665256250557
11	'A086E01_'	2.03134768498932
12	'A087E01_'	1.5244341705153701
13	'A095E01_'	1.4815550677026599
14	'A098E01_'	1.60688470086251
15	'A099E01_'	2.19878989652956
16	'A100E01_'	1.8071589410572202
17	'A101E01_'	1.63391937448785
18	'A105E01_'	2.08176632901841
19	'A106E01_'	1.88501672325048
20	'A107E01_'	1.6125692086991399
21	'A108E01_'	1.71751227796682
22	'A109E01_'	2.01383505317107
23	'A110E01_'	2.3046937901152402
24	'A111E01_'	2.54265890585092
25	'A112E01_'	2.65740676210415
26	'A113E01_'	2.6619441049634998
27	'A114E01_'	2.58031014328427
28	'A115E01_'	2.27346134868431
29	'A116E01_'	2.49178945750536
30	'A117E01_'	2.66667149034393
31	'A118E01_'	2.67295884168884
32	'A119E01_'	2.59581764260087
33	'A120E01_'	2.2846548968920097
34	'A121E01_'	1.94763595151276
35	'A122E01_'	2.21722924905356
36	'A123E01_'	2.7402375465734905
37	'A124E01_'	3.1095435948421097
38	'A125E01_'	3.27200413611346
39	'A126E01_'	3.35025506420551
40	'A127E01_'	3.39935266660062
41	'A128E01_'	3.35176094749384
42	'A129E01_'	3.23650403441153
43	'A130E01_'	2.91963260416704
44	'A131E01_'	2.5786486445132204
45	'A132E01_'	2.0746580615788504
46	'A133E01_'	1.7436817203832
47	'A134E01_'	1.7464230746604401
48	'A135E01_'	1.64956719416244
49	'A155E01_'	1.48763296871804
50	'A169E01_'	1.47592214386733
51	'A170E01_'	1.6671576072247902
52	'A171E01_'	1.80170963998169
53	'A172E01_'	1.97747675031235
54	'A173E01_'	2.13675777762765
55	'A174E01_'	2.01303794774778
56	'A175E01_'	2.01390133984471
57	'A176E01_'	1.8884155069261
58	'A177E01_'	1.7890238050755802
59	'A212E01_'	1.48912220847901
