	Sample_Names	Percolation_Threshold
0	'A000E01_'	1.23737570204355
1	'A001E01_'	1.1842506904818502
2	'A002E01_'	1.17104757424017
3	'A003E01_'	1.27640612162982
4	'A004E01_'	1.40540271682767
5	'A005E01_'	1.36844593188164
6	'A006E01_'	1.3365249027688102
7	'A007E01_'	1.2982357999174499
8	'A008E01_'	1.2632576346233402
9	'A009E01_'	1.18693337770984
10	'A010E01_'	1.15536427182907
11	'A011E01_'	1.07961919561548
12	'A012E01_'	1.03557248940321
13	'A054E01_'	1.1055002043031101
14	'A056E01_'	1.0171290712485799
15	'A057E01_'	1.1310548834943999
16	'A058E01_'	1.16459588925086
17	'A059E01_'	1.0175744808709701
18	'A060E01_'	1.05906028486375
19	'A061E01_'	1.07516665496729
20	'A062E01_'	1.0246008098141501
21	'A064E01_'	1.05317313269748
22	'A065E01_'	1.15797314990153
23	'A066E01_'	1.17468577107846
24	'A067E01_'	1.15139573663222
25	'A068E01_'	1.1348217483871899
26	'A069E01_'	1.1307190388358401
27	'A070E01_'	1.1209158970077702
28	'A071E01_'	1.05329860549724
29	'A072E01_'	1.0908484577420101
30	'A073E01_'	1.33427250645411
31	'A074E01_'	1.4532583815000502
32	'A092E01_'	1.3223671421244398
33	'A093E01_'	1.1680628025148798
34	'A094E01_'	1.33678752304982
35	'A096E01_'	1.40126619674166
36	'A097E01_'	1.34651924220562
37	'A102E01_'	1.44917948530521
38	'A103E01_'	1.34832125169924
39	'A104E01_'	1.3708987378647801
40	'A136E01_'	1.3768771362359398
41	'A137E01_'	1.21262318618494
42	'A138E01_'	1.1721617043912198
43	'A139E01_'	1.1100914457010902
44	'A140E01_'	1.06358122941575
45	'A141E01_'	1.0753899020953501
46	'A146E01_'	1.08371321288572
47	'A147E01_'	1.09338818244783
48	'A148E01_'	1.06455284033748
49	'A150E01_'	1.15318392724927
50	'A151E01_'	1.1523271033692901
51	'A152E01_'	1.2585693470606398
52	'A153E01_'	1.21687257044744
53	'A154E01_'	1.42969251744854
54	'A156E01_'	1.4436947950763799
55	'A157E01_'	1.36393203830672
56	'A158E01_'	1.25385159999544
57	'A159E01_'	1.1216142989480702
58	'A166E01_'	1.06598706077371
59	'A167E01_'	1.1855423367992801
60	'A168E01_'	1.35616577632588
61	'A178E01_'	1.40709999859647
62	'A179E01_'	1.11271376301601
63	'A180E01_'	1.12857887600485
64	'A181E01_'	1.13154174965523
65	'A186E01_'	1.08789285854405
66	'A187E01_'	1.05529393131314
67	'A188E01_'	1.07227414895665
68	'A189E01_'	1.09369842181432
69	'A193E01_'	1.21049787014095
70	'A194E01_'	1.2472140408248897
71	'A195E01_'	1.2490884721916298
72	'A196E01_'	1.4750058741504
73	'A197E01_'	1.27953392360369
74	'A200E01_'	1.11768727634305
75	'A201E01_'	1.2741806153435802
76	'A202E01_'	1.2441343045270299
77	'A203E01_'	1.24729304925149
78	'A204E01_'	1.30295352718246
79	'A205E01_'	1.24496184293497
80	'A206E01_'	1.18730126747517
81	'A207E01_'	1.22477534928498
82	'A208E01_'	1.25799383397449
83	'A209E01_'	1.3702892911898799
84	'A210E01_'	1.4236780943328202
85	'A211E01_'	1.44323981867617
86	'A217E01_'	1.07302693343284
87	'A218E01_'	1.30763703493994
88	'A219E01_'	1.09628477590114
89	'A220E01_'	1.10034339901374
90	'A221E01_'	1.14621622437131
91	'A222E01_'	1.14632954339835
92	'A223E01_'	1.1434366238798799
93	'A224E01_'	1.30951554556698
94	'A225E01_'	1.41501888891475
95	'A226E01_'	1.47203363331096
96	'A227E01_'	1.43320707164557
97	'A238E01_'	1.44412579018604
98	'A239E01_'	1.37924441789021
99	'A240E01_'	1.26033727128422
100	'A241E01_'	1.14216238141641
101	'A242E01_'	1.07991654720852
102	'A259E01_'	1.03603756687282
103	'A260E01_'	1.06973771445804
104	'A261E01_'	1.09682673414106
105	'A262E01_'	1.0869620091285699
106	'A263E01_'	1.09274704613745
